"","NU_INSCRICAO","NO_MUNICIPIO_RESIDENCIA","UF_RESIDENCIA","COD_ESCOLA","NO_MUNICIPIO_ESC","UF_ESC","ID_DEPENDENCIA_ADM_ESC","ID_LOCALIZACAO_ESC","IDADE","TP_SEXO","NO_MUNICIPIO_NASCIMENTO","UF_NASCIMENTO","ST_CONCLUSAO","ANO_CONCLUIU","TP_ESCOLA","TP_COR_RACA","IN_CERTIFICADO","NOTA_CN","NOTA_CH","NOTA_LC","NOTA_MT","NU_NOTA_REDACAO","Q003","Q004","Q022","Q023","Q024","Q025","Q026","Q027","Q028","Q029","Q035","Q040","Q048","Q054","media"
"8394321",6.91710874045606e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,19,"M","BELO HORIZONTE","MG",2,NA,2,3,1,646.8,703.5,637.2,696.3,460,"N",4,"C",5,5,NA,5,3,2,3,"C",NA,"","B",628.76
"9015482",6.91711180954245e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,18,"M","BELO HORIZONTE","MG",2,NA,2,1,NA,690.6,727.4,475.3,781.4,560,"P",4,"C",3,4,NA,5,1,0,0,"",NA,"","",646.94
"1075541",6.91712198803585e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,18,"M","BELO HORIZONTE","MG",2,NA,2,1,0,578.4,644.9,574.5,758.8,440,"P",3,"C",5,5,NA,5,4,4,1,"",NA,"","",599.32
"118310",6.91712251945286e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,18,"M","BELO HORIZONTE","MG",2,NA,2,2,0,679.6,711.2,665.2,869.8,720,"G",4,"C",0,5,NA,5,0,5,5,"",NA,"","",729.16
"4108921",6.91713697546781e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,18,"M","BELO HORIZONTE","MG",2,NA,2,1,0,612.4,697.3,615.6,704.4,820,"O",4,"C",5,4,NA,5,3,3,3,"",NA,"","",689.94
"419189",6.91713738549289e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,17,"M","BELO HORIZONTE","MG",2,NA,2,3,NA,728.1,567.7,521.8,705.2,640,"Q",3,"C",5,5,NA,5,5,0,0,"",NA,"","",632.56
"4214711",6.91713749828808e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,17,"M","BELO HORIZONTE","MG",2,NA,2,1,NA,621.3,671.9,638.1,727,600,"J",3,"C",5,5,NA,5,0,0,0,"",NA,"","",651.66
"7157231",6.91715203700962e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,19,"M","ITUIUTABA","MG",2,NA,2,1,1,574.4,643.6,560.4,598,880,"K",4,"C",3,5,NA,5,5,3,3,"C",NA,"","B",651.28
"2398781",6.91717793479442e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,19,"M","BELO HORIZONTE","MG",2,NA,2,2,1,600.9,657.6,640.8,725.7,720,"M",5,"B",0,0,NA,5,0,0,5,"C",17,"B","B",669
"3971571",6.91723511493847e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,18,"M","BELO HORIZONTE","MG",2,NA,2,1,NA,674.2,649.3,618.2,773.9,620,"P",5,"C",4,5,NA,5,3,0,0,"",NA,"","",667.12
